Care_Category,Care_Category_Specific,Care_Category_Speciality,Name,Unit,F_Address,Postal_Code,LATITUDE,LONGITUDE
Child_Centric,Daycare_Centre,NA,Farmer's Dell Co-operative Preschool,NA,"1062 Golf Club Road,Hamilton,ON",L0R 1C0,43.1459541,-79.74185968
Child_Centric,Daycare_Centre,NA,Wee Watch Enriched Home Child Care - Stoney Creek,NA,"60 King Street West,Hamilton,ON",L8G 1H7,43.26627749,-79.95624772
Child_Centric,Daycare_Centre,NA,Garside Day Care Centre,NA,"47 Garside Avenue,Hamilton,ON",L8H 7K6,43.2415807,-79.8074875
Child_Centric,Daycare_Centre,NA,Graystone Children's Early Learning Academy,NA,"1910 Rymal Road,Hamilton,ON",L0R 1P0,43.17991063,-79.80644043
Child_Centric,Daycare_Centre,NA,Boys and Girls Clubs of Hamilton -Strathcona Site,NA,"10 Lamoreaux Street,Hamilton,ON",L8R 1V1,43.2640656,-79.88478365
Child_Centric,Daycare_Centre,NA,Boys and Girls Clubs of Hamilton- Prince of Wales,NA,"77 Melrose Avenue,Hamilton,ON",L8L 6X4,43.3292609,-80.0445069
Child_Centric,Daycare_Centre,NA,Boys and Girls Clubs of Hamilton-Viscount Montgomery site,NA,"1525 Lucerne Avenue,Hamilton,ON",L8K 1R3,43.23262195,-79.79675974
Child_Centric,Daycare_Centre,NA,Boys and Girls of Hamilton - Parkdale Site,NA,"139 Parkdale Avenue,Hamilton,ON",L8H 5X3,43.24051805,-79.79116649
Child_Centric,Daycare_Centre,NA,"Early Learning and Care Centre, Hamilton East Kiwanis Boys' & Girls' Club",NA,"45 Ellis Avenue,Hamilton,ON",L8H 4L8,43.2483028,-79.8106052
Child_Centric,Daycare_Centre,NA,Hamilton East Kiwanis Boys and Girls Club - ELCC - Queen Mary Site,NA,"1292 Cannon Street,Hamilton,ON",L8H 1V6,43.2561073,-79.8486183
Child_Centric,Daycare_Centre,NA,Hamilton Early Learning Centre,NA,"10 George Street,Hamilton,ON",L8P 1C8,43.2576852,-79.8758562
Child_Centric,Daycare_Centre,NA,Hamilton Hebrew Academy,NA,"60 Dow Avenue,Hamilton,ON",L8S 1W4,43.2563902,-79.9101473
Child_Centric,Daycare_Centre,NA,End of Day Club,NA,"407 Charlton Avenue,Hamilton,ON",L8P 2E6,43.25424911,-79.89098068
Child_Centric,Daycare_Centre,NA,Annunciation of Our Lord Before and After School Program,NA,"250 Limeridge Road,Hamilton,ON",L9C 2V2,43.2232494,-79.89575579
Child_Centric,Daycare_Centre,NA,Blessed Sacrament Before and After School Program,NA,"315 East 37th Street,Hamilton,ON",L8V 4B5,43.22716965,-79.84160227
Child_Centric,Daycare_Centre,NA,Canadian Martyrs Before and After School Program,NA,"1355 Main Street,Hamilton,ON",L8S 4M7,43.2659749,-79.9537768
Child_Centric,Daycare_Centre,NA,Cathedral Children's Centre,NA,"30 Wentworth Street,Hamilton,ON",L8L 8H5,43.25314395,-79.84748757
Child_Centric,Daycare_Centre,NA,Corpus Christi Before and After School Program,NA,"25 Alderson Drive,Hamilton,ON",L9B 1G3,43.1989725,-79.8953087
Child_Centric,Daycare_Centre,NA,Guardian Angels Before and After School Program,NA,"705 Centre Road,Hamilton,ON",L8N 2Z7,43.3436462,-79.91487882
Child_Centric,Daycare_Centre,NA,Holy Name of Jesus Early Learning and Care Centre,NA,"181 Belmont Avenue,Hamilton,ON",L8L 7M5,43.249389,-79.82297333
Child_Centric,Daycare_Centre,NA,Holy Name of Mary - Before and After School Program,NA,"161 Meadowlands Boulevard,Hamilton,ON",L9K 1H8,43.2205616,-79.94533537
Child_Centric,Daycare_Centre,NA,Immaculate Conception Before and After School Program,NA,"470 Kitty Murray Lane,Hamilton,ON",L9K 1C3,43.2093049,-79.95438628
Child_Centric,Daycare_Centre,NA,Immaculate Heart of Mary Early Learning and Care Centre,NA,"190 Glover Road,Hamilton,ON",L8E 0A1,43.20857365,-79.68228962
Child_Centric,Daycare_Centre,NA,Our Lady of Lourdes Before and After School Program,NA,"420 Mohawk Road,Hamilton,ON",L8V 2H7,43.2291208,-79.9648564
Child_Centric,Daycare_Centre,NA,Our Lady of Mount Carmel Children's Centre,NA,"1624 Centre Road,Hamilton,ON",L0R 1H0,43.4042111,-79.99435731
Child_Centric,Daycare_Centre,NA,Our Lady of Peace Before and After Program,NA,"252 Dewitt Road,Hamilton,ON",L8E 2R1,43.2209828,-79.71014957
Child_Centric,Daycare_Centre,NA,Our Lady of the Assumption Before and After School Program,NA,"55 Highway #20 ,Hamilton,ON",L8E 2R1,43.149394,-79.8188736
Child_Centric,Daycare_Centre,NA,Our Lady of the Assumption Before and After School Program,NA,"103 Fletcher Road,Hamilton,ON",L0R 1P0,43.149394,-79.8188736
Child_Centric,Daycare_Centre,NA,Regina Mundi Before and After School Program,NA,"675 Mohawk Road,Hamilton,ON",L9C 1X7,43.23165467,-79.95847928
Child_Centric,Daycare_Centre,NA,Sacred Heart of Jesus Before and After School Program,NA,"5 Hamilton Avenue,Hamilton,ON",L8V 2S3,43.24129675,-79.84920335
Child_Centric,Daycare_Centre,NA,St. Ann - Ancaster Before and After School Program,NA,"24 Fiddlers Green Road,Hamilton,ON",L9G 1W1,43.2186648,-79.987808
Child_Centric,Daycare_Centre,NA,St. Ann Early Learning and Care Centre,NA,"118 Sherman Avenue,Hamilton,ON",L8L 6M6,43.2551191,-79.8365377
Child_Centric,Daycare_Centre,NA,St. Ann Early Learning and Care Centre,NA,"15 St. Ann Street,Hamilton,ON",L8L 0B8,43.2555521,-79.8356483
Child_Centric,Daycare_Centre,NA,St. Bernadette Early Learning and Care Centre,NA,"270 Governors Road,Hamilton,ON",L9H 5E3,43.2586072,-79.9763477
Child_Centric,Daycare_Centre,NA,St. Clare Before and After School Program,NA,"185 Glenashton Drive,Hamilton,ON",L8G 4E7,43.2145103,-79.71534451
Child_Centric,Daycare_Centre,NA,St. David Early Learning and Care Centre,NA,"33 Cromwell Crescent,Hamilton,ON",L8G 2E9,43.22489155,-79.76733076
Child_Centric,Daycare_Centre,NA,St. Eugene Before and After School Program,NA,"120 Parkdale Avenue,Hamilton,ON",L8K 3P3,43.2337355,-79.79410678
Child_Centric,Daycare_Centre,NA,St. Francis Early Learning and Care Centre,NA,"298 Highway # 8 ,Hamilton,ON",L8G 1E6,43.2199681,-79.73267564
Child_Centric,Daycare_Centre,NA,St. Gabriel Early Learning and Care Centre,NA,"1361 Barton Street,Hamilton,ON",L8E 5L1,43.2096058,-79.6401789
Child_Centric,Daycare_Centre,NA,St. Helen Early Learning and Care Centre,NA,"785 Britannia Avenue,Hamilton,ON",L8H 2B6,43.2394245,-79.7812376
Child_Centric,Daycare_Centre,NA,St. John Paul II Before and After School Program,NA,"600 Acadia Drive,Hamilton,ON",L8W 3A8,43.2032474,-79.8689382
Child_Centric,Daycare_Centre,NA,St. Joseph Before and After School Program,NA,"270 Locke Street,Hamilton,ON",L8P 4C1,43.2524532,-79.88794991
Child_Centric,Daycare_Centre,NA,St. Kateri Tekakwitha Before and After School Program,NA,"22 Queensbury Drive,Hamilton,ON",L8W 1Z6,43.2020564,-79.8410927
Child_Centric,Daycare_Centre,NA,St. Luke Before and After School Program,NA,"345 Albright Road,Hamilton,ON",L8K 6N3,43.2189669,-79.7959287
Child_Centric,Daycare_Centre,NA,St. Margaret Mary Before and After School Program,NA,"25 Brentwood Drive,Hamilton,ON",L8T 3V9,43.22343025,-79.82853266
Child_Centric,Daycare_Centre,NA,St. Marguerite d'Youville Children's Centre,NA,"20 Bonaparte Way,Hamilton,ON",L9B 2E3,43.20377275,-79.87817471
Child_Centric,Daycare_Centre,NA,St. Mark Before and After School Program,NA,"43 Whitedeer Road,Hamilton,ON",L8J 3T1,43.1783891,-79.7854854
Child_Centric,Daycare_Centre,NA,St. Martin of Tours Before and After School Program,NA,"60 Gray Road,Hamilton,ON",L8G 2X5,43.21608255,-79.74594893
Child_Centric,Daycare_Centre,NA,St. Matthew Child and Family Centre,NA,"200 Windwood Drive,Hamilton,ON",L0R 1C0,43.11745785,-79.81360016
Child_Centric,Daycare_Centre,NA,St. Michael Before and After School Program,NA,"135 Hester Street,Hamilton,ON",L9A 2N9,43.2242173,-79.87450656
