"Shape Area","Type","Households","Quality Flags","name","GeoUID","CSD_UID","Population","CT_UID","Dwellings","CD_UID","CMA_UID","Region Name","Area (sq km)","v_CA21_10: Total - Age","v_CA21_9: Total - Age","v_CA21_8: Total - Age","v_CA21_601: Income statistics in 2020 for the population aged 15 years and over in private households","v_CA21_646: Composition of total income in 2020 of the population aged 15 years and over in private households","v_CA21_645: Composition of total income in 2020 of the population aged 15 years and over in private households","v_CA21_600: Income statistics in 2020 for the population aged 15 years and over in private households","v_CA21_4873: Total - Visible minority for the population in private households","v_CA21_4874: Total - Visible minority for the population in private households","v_CA21_4918: Total - Ethnic or cultural origin for the population in private households","v_CA21_4919: Total - Ethnic or cultural origin for the population in private households","v_CA21_5800: Total - Secondary (high) school diploma or equivalency certificate for the population aged 15 years and over in private households","v_CA21_5801: Total - Secondary (high) school diploma or equivalency certificate for the population aged 15 years and over in private households","v_CA21_5809: Total - Secondary (high) school diploma or equivalency certificate for the population aged 25 to 64 years in private households","v_CA21_5810: Total - Secondary (high) school diploma or equivalency certificate for the population aged 25 to 64 years in private households","v_CA21_5818: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households","v_CA21_5819: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households","Longitude","Latitude"
0.0813,"DA",150,"0","35250073","35250073","3525005",426,"5370002.04",153,"3525","35537","35250073",0.0813,210,215,425,165,100,100,185,215,185,215,185,185,165,105,105,185,165,-79.9261674160416,43.2240263772131
0.0682,"DA",115,"0","35250074","35250074","3525005",314,"5370002.04",117,"3525","35537","35250074",0.0682,155,160,315,125,100,100,145,175,160,170,160,145,125,90,70,145,125,-79.9241068411261,43.2262958830428
0.0839,"DA",144,"0","35250075","35250075","3525005",413,"5370002.04",146,"3525","35537","35250075",0.0839,215,200,410,195,100,100,150,200,225,200,225,150,190,90,115,150,195,-79.9211106986849,43.2252771637611
0.0932,"DA",190,"0","35250077","35250077","3525005",569,"5370002.04",191,"3525","35537","35250077",0.0932,300,270,570,300,100,100,225,255,350,260,350,225,300,135,175,225,300,-79.9177259389667,43.2233239717888
0.0844,"DA",137,"0","35250078","35250078","3525005",403,"5370002.03",137,"3525","35537","35250078",0.0844,210,195,405,180,100,100,205,230,240,230,235,205,180,135,120,205,180,-79.9153812393962,43.2224338868341
0.1578,"DA",114,"0","35250079","35250079","3525005",304,"5370002.03",116,"3525","35537","35250079",0.1578,150,150,305,105,NA,NA,110,135,115,130,115,115,110,45,50,115,105,-79.9119346303966,43.2223707068819
0.1963,"DA",199,"0","35250080","35250080","3525005",555,"5370002.03",207,"3525","35537","35250080",0.1963,305,250,555,270,100,100,195,260,305,255,305,195,265,110,150,195,270,-79.9094608762395,43.2231758869863
0.1887,"DA",360,"0","35250081","35250081","3525005",989,"5370003.03",365,"3525","35537","35250081",0.1887,525,470,990,435,100,100,375,475,525,470,525,380,435,255,290,375,440,-79.9094999086031,43.2260899720354
0.0505,"DA",90,"0","35250082","35250082","3525005",227,"5370003.03",93,"3525","35537","35250082",0.0505,110,115,225,95,NA,NA,80,90,110,90,105,80,95,40,35,80,95,-79.9096653900065,43.2264372783647
0.1877,"DA",243,"0","35250083","35250083","3525005",816,"5370003.03",249,"3525","35537","35250083",0.1877,450,365,820,350,100,100,245,365,460,365,460,245,350,115,195,240,350,-79.9075254466997,43.228248975875
0.0885,"DA",115,"0","35250084","35250084","3525005",341,"5370003.03",116,"3525","35537","35250084",0.0885,175,165,340,150,100,100,140,190,180,185,175,135,150,100,75,140,150,-79.9106917047463,43.2299020710793
0.0944,"DA",108,"0","35250085","35250085","3525005",300,"5370003.03",114,"3525","35537","35250085",0.0944,160,140,300,165,100,100,115,140,175,140,180,115,165,60,90,115,165,-79.9099325149481,43.2318585361393
0.1441,"DA",172,"0","35250086","35250086","3525005",690,"5370003.02",173,"3525","35537","35250086",0.1441,410,280,690,255,100,100,195,210,265,210,260,195,255,80,130,195,255,-79.9145568003895,43.2316417904699
0.1152,"DA",188,"0","35250087","35250087","3525005",500,"5370003.02",191,"3525","35537","35250087",0.1152,250,250,500,235,100,100,205,255,285,255,280,205,235,140,150,205,230,-79.9163953179275,43.2282762350648
0.244,"DA",176,"0","35250088","35250088","3525005",479,"5370003.02",179,"3525","35537","35250088",0.244,250,230,480,195,100,100,175,205,240,205,240,175,195,115,125,170,190,-79.9201855499628,43.2307364344927
0.0657,"DA",291,"0","35250089","35250089","3525005",555,"5370003.02",299,"3525","35537","35250089",0.0657,350,205,555,285,100,100,180,205,340,205,345,180,285,80,120,180,285,-79.9207465649255,43.2331377919324
0.2131,"DA",207,"0","35250093","35250093","3525005",531,"5370003.01",215,"3525","35537","35250093",0.2131,265,270,530,240,100,100,250,305,265,310,260,245,245,150,150,250,240,-79.9277363168575,43.2360062666091
0.059,"DA",131,"0","35250094","35250094","3525005",343,"5370003.02",132,"3525","35537","35250094",0.059,180,165,345,145,100,100,120,145,180,145,185,120,150,90,100,120,150,-79.9265994333389,43.2328566939101
0.1147,"DA",165,"0","35250095","35250095","3525005",459,"5370003.02",166,"3525","35537","35250095",0.1147,230,230,460,200,100,100,180,235,245,235,245,180,195,85,110,175,200,-79.9263294004149,43.2310141904999
0.1278,"DA",179,"0","35250096","35250096","3525005",525,"5370003.02",183,"3525","35537","35250096",0.1278,275,250,525,260,100,100,200,250,295,250,300,200,260,125,150,200,260,-79.9246648261956,43.2291000161409
0.3032,"DA",114,"0","35250097","35250097","3525005",349,"5370124.00",115,"3525","35537","35250097",0.3032,165,180,350,170,100,100,165,200,190,200,190,165,165,90,115,165,170,-79.9315291084511,43.239234919017
0.0674,"DA",69,"0","35250098","35250098","3525005",226,"5370124.00",69,"3525","35537","35250098",0.0674,105,120,225,95,NA,NA,90,110,105,110,100,85,90,45,50,90,95,-79.9361384827735,43.2374525237504
1.6357,"DA",218,"0","35250099","35250099","3525005",784,"5370124.00",223,"3525","35537","35250099",1.6357,400,380,785,305,100,100,275,335,330,335,330,275,305,140,155,270,305,-79.9406893339019,43.2379375319153
0.2129,"DA",189,"0","35250100","35250100","3525005",500,"5370003.01",191,"3525","35537","35250100",0.2129,260,245,500,190,100,100,215,250,230,245,230,215,190,125,115,215,190,-79.9276680372983,43.2436988517169
0.1207,"DA",159,"0","35250101","35250101","3525005",449,"5370003.01",160,"3525","35537","35250101",0.1207,230,220,450,195,100,100,190,225,215,225,215,190,195,90,95,190,195,-79.9252953254936,43.2429786163377
0.1422,"DA",111,"0","35250102","35250102","3525005",323,"5370003.01",113,"3525","35537","35250102",0.1422,150,170,320,155,100,100,165,170,175,175,175,165,155,80,85,165,160,-79.920102520001,43.2440424045494
0.2401,"DA",230,"0","35250105","35250105","3525005",597,"5370015.00",238,"3525","35537","35250105",0.2401,295,300,595,230,100,100,245,320,275,320,275,250,230,165,155,245,230,-79.9104598329919,43.2428260926994
0.1346,"DA",192,"0","35250106","35250106","3525005",473,"5370015.00",196,"3525","35537","35250106",0.1346,250,220,470,210,100,100,215,255,250,255,245,220,210,150,155,220,210,-79.9107518398098,43.2386901884193
0.2285,"DA",197,"0","35250107","35250107","3525005",523,"5370014.00",200,"3525","35537","35250107",0.2285,260,260,520,270,100,100,230,265,290,265,290,230,270,130,145,225,270,-79.9063328257138,43.2403567608839
0.1688,"DA",206,"0","35250108","35250108","3525005",543,"5370014.00",210,"3525","35537","35250108",0.1688,265,275,545,240,100,100,225,275,290,275,290,225,240,135,160,225,240,-79.9049333959737,43.2368786271106
0.2708,"DA",264,"0","35250109","35250109","3525005",748,"5370014.00",272,"3525","35537","35250109",0.2708,360,385,750,280,100,100,300,390,335,385,335,300,285,185,175,300,280,-79.9014771152872,43.2382519928625
0.2724,"DA",229,"0","35250110","35250110","3525005",581,"5370014.00",236,"3525","35537","35250110",0.2724,295,285,580,260,100,100,235,275,310,275,305,235,255,185,165,235,260,-79.9065701931152,43.2338940526812
0.2443,"DA",168,"0","35250111","35250111","3525005",582,"5370015.00",173,"3525","35537","35250111",0.2443,360,225,580,190,100,100,170,195,215,200,215,170,190,100,105,170,190,-79.9138826519539,43.2360700858241
0.1242,"DA",174,"0","35250112","35250112","3525005",508,"5370003.03",178,"3525","35537","35250112",0.1242,255,250,510,235,100,100,210,235,275,235,280,210,235,155,150,210,235,-79.9043691823064,43.2302457267486
0.1274,"DA",107,"0","35250113","35250113","3525005",300,"5370003.04",113,"3525","35537","35250113",0.1274,145,155,300,110,100,100,140,155,130,160,135,140,110,80,65,140,110,-79.8993856069583,43.2296737324618
0.1435,"DA",146,"0","35250114","35250114","3525005",425,"5370003.04",147,"3525","35537","35250114",0.1435,210,215,425,195,100,100,265,315,220,315,225,265,195,150,125,265,195,-79.8990805710249,43.2278585571861
0.2648,"DA",548,"0","35250115","35250115","3525005",1445,"5370003.04",555,"3525","35537","35250115",0.2648,760,680,1445,600,100,100,600,730,760,735,760,595,600,405,450,600,600,-79.8992848983539,43.2235191194843
0.2059,"DA",238,"0","35250116","35250116","3525005",743,"5370002.01",243,"3525","35537","35250116",0.2059,360,390,745,260,100,100,280,355,345,355,340,280,260,195,185,280,260,-79.8997985804966,43.2212241650993
