"Care_Category","Care_Category_Specific","Care_Category_Speciality","Name","Unit","F_Address","Postal_Code","LONGITUDE","LATITUDE","lat","long"
"Child_Centric","School",NA,"Holy Name of Mary Elementary School","","161 Meadowlands Boulevard,Hamilton,ON","",NA,NA,"43.2205616",-79.94533537
"Child_Centric","School",NA,"Blessed Sacrament Elementary School","","315 East 37th Street,Hamilton,ON","",NA,NA,"43.22716965",-79.84160227
"Child_Centric","School",NA,"Wilma's Place Alternative Education Centre","","770 Main Street East,Hamilton,ON","",NA,NA,"43.2473612",-79.8390513
"Child_Centric","School",NA,"St. Teresa of Calcutta Elementary School","","1 Rexford Drive,Hamilton,ON","",NA,NA,"43.2081976",-79.8560119
"Child_Centric","School",NA,"Christadelphian Heritage College","","522 Book Road East,Hamilton,ON","",NA,NA,"43.18772695",-79.95309526
"Child_Centric","School",NA,"Cootes Paradise Elementary School","","900 King Street West,Hamilton,ON","",NA,NA,"43.2640292",-79.90231695
"Child_Centric","School",NA,"Billy Green Elementary School","","1105 Paramount Drive,Hamilton,ON","",NA,NA,"43.2015352",-79.79591196
"Child_Centric","School",NA,"Gordon Price Elementary School","","11 Guildwood Drive,Hamilton,ON","",NA,NA,"43.2233211",-79.92046142
"Child_Centric","School",NA,"Huntington Park Elementary School","","80 Kingslea Drive,Hamilton,ON","",NA,NA,"43.22026355",-79.82762248
"Child_Centric","School",NA,"James Macdonald Elementary School","","200 Chester Avenue,Hamilton,ON","",NA,NA,"43.2169876",-79.8970805
"Child_Centric","School",NA,"Mount Hope Elementary School","","9149 Airport Road,Hamilton,ON","",NA,NA,"43.15778095",-79.92121432
"Child_Centric","School",NA,"Mountview Elementary School","","59 Karen Crescent,Hamilton,ON","",NA,NA,"43.24046235",-79.92538347
"Child_Centric","School",NA,"Pauline Johnson Elementary School","","25 Hummingbird Lane,Hamilton,ON","",NA,NA,"43.21960745",-79.87017654
"Child_Centric","School",NA,"Queen Mary Elementary School","","1292 Cannon Street East,Hamilton,ON","",NA,NA,"43.24587555",-79.81352481
"Child_Centric","School",NA,"Rousseau Elementary School","","103 McNiven Road,Hamilton,ON","",NA,NA,"43.22895055",-79.96210279
"Child_Centric","School",NA,"Kanétskare Elementary School","","222 Robinson Street,Hamilton,ON","",NA,NA,"43.2533705",-79.88237237
"Child_Centric","School",NA,"Tiffany Hills Elementary School","","255 Raymond Road,Hamilton,ON","",NA,NA,"43.2128355",-79.93654747
"Child_Centric","School",NA,"W. H. Ballard Elementary School","","801 Dunsmure Road,Hamilton,ON","",NA,NA,"43.2416511",-79.80295467
"Child_Centric","School",NA,"Westwood Elementary School","","9 Lynbrook Drive,Hamilton,ON","",NA,NA,"43.22791265",-79.89319075
"Child_Centric","School",NA,"Our Lady of Peace Elementary School","","252 Dewitt Road,Hamilton,ON","",NA,NA,"43.2209828",-79.71014957
"Child_Centric","School",NA,"St. Paul Catholic Elementary School","","24 Amberwood Street,Hamilton,ON","",NA,NA,"43.1989888",-79.7963461
"Child_Centric","School",NA,"St. Teresa of Avila Elementary School","","171 San Remo Drive,Hamilton,ON","",NA,NA,"43.2378565",-79.92630141
"Child_Centric","School",NA,"St. Agnes Elementary School","","80 Colcrest Street,Hamilton,ON","",NA,NA,"43.2297514",-79.74572573
"Child_Centric","School",NA,"Beth Jacob Hebrew School","","375 Aberdeen Avenue,Hamilton,ON","",NA,NA,"43.2502559",-79.8901093
"Child_Centric","School",NA,"Notre-Dame Elementary School","","400 Cumberland Avenue,Hamilton,ON","",NA,NA,"43.24171215",-79.83638147
"Child_Centric","School",NA,"Frank Panabaker Elementary School - North Campus","","168 Huron Avenue,Hamilton,ON","",NA,NA,"43.2093429",-79.99159157
"Child_Centric","School",NA,"École élémentaire catholique Monseigneur-de-Laval","","135 Bendamere Avenue,Hamilton,ON","",NA,NA,"43.2340149",-79.89206408
"Child_Centric","School",NA,"St. Thérèse of Lisieux Elementary School","","1760 Garth Street,Hamilton,ON","",NA,NA,"43.2021375",-79.9154561
"Child_Centric","School",NA,"Woodview Mental Health & Autism - Delta School","","1284 Main Street East,Hamilton,ON","",NA,NA,"43.2410964",-79.8138714
"Child_Centric","School",NA,"King William Learning Centre","3rd Floor","225 King William Street,Hamilton,ON","",NA,NA,"43.2555101",-79.8608288
"Child_Centric","School",NA,"Dundas Valley Montessori School","","14 Kemp Drive,Hamilton,ON","",NA,NA,"43.26331942",-79.96454332
"Child_Centric","School",NA,"Nora Frances Henderson Secondary School","","1770 Upper Sherman Avenue,Hamilton,ON","",NA,NA,"43.2077017",-79.8579458
"Child_Centric","School",NA,"École Élémentaire Michaelle Jean","","2121 Regional Road 56 ,Hamilton,ON","",NA,NA,"43.13509",-79.79705618
"Child_Centric","School",NA,"Cairn Christian School","","795 Highway 8 ,Hamilton,ON","",NA,NA,"43.2121861",-79.6910755
"Child_Centric","School",NA,"Our Lady of Hope","","400 Pumpkin Pass,Hamilton,ON","",NA,NA,"43.1269026",-79.8137294
"Child_Centric","School",NA,"Bernie Custis Secondary School","","1055 King Street East,Hamilton,ON","",NA,NA,"43.250321",-79.83135541
"Child_Centric","School",NA,"Oak Hill Academy","","557 Garner Road West,Hamilton,ON","",NA,NA,"43.198081",-80.0084011
"Child_Centric","School",NA,"Shannen Koostachin Elementary School","","110 Bellagio Avenue,Hamilton,ON","",NA,NA,"43.17595945",-79.80319964
"Child_Centric","Daycare_Centre",NA,"Delaware Early learning Centre","","162 Delaware Avenue,Hamilton,ON","L8M 1V6",NA,NA,"43.24631903",-79.8433846
"Child_Centric","Daycare_Centre",NA,"First Class Children's Centre","","139 Rebecca Street,Hamilton,ON","L8R 1B9",NA,NA,"43.2567447",-79.8623671
