Care_Category,Care_Category_Specific,Care_Category_Speciality,Name,Unit,Address,Street_Name,Street_Type,Community,Province,Postal_Code,LONGITUDE,LATITUDE
Child_Centric,School,,École secondaire Académie catholique Mère-Teresa,,50,Lisgar,Court,Hamilton,ON,,,
Child_Centric,School,,Lawfield Elementary School,,45,Berko,Street,Hamilton,ON,,,
Child_Centric,School,,Holbrook Elementary School,,450,Sanatorium,Road,Hamilton,ON,,,
Child_Centric,School,,Living Hope Christian School,,1045,Garth,Street,Hamilton,ON,,,
Child_Centric,School,,New Testament Academy,,21,Jameston,Avenue,Hamilton,ON,,,
Child_Centric,School,,École élémentaire Pavillon de la jeunesse,,105,High,Street,Hamilton,ON,,,
Child_Centric,School,,St. Mark Elementary School,,43,Whitedeer,Road,Stoney Creek,ON,,,
Child_Centric,School,,Westmount Secondary School,,39,Montcalm,Drive,Hamilton,ON,,,
Child_Centric,School,,Westview Middle School,,60,Rolston,Drive,Hamilton,ON,,,
Child_Centric,School,,Rehoboth Christian School,,198,Inksetter,Road,Flamborough,ON,,,
Child_Centric,School,,Templemead Elementary School,,62,Templemead,Drive,Hamilton,ON,,,
Child_Centric,School,,Bishop Tonnos Secondary School,,100,Pannabaker,Drive,Ancaster,ON,,,
Child_Centric,School,,Cathy Wever Elementary School,,160,Wentworth,Street North,Hamilton,ON,,,
Child_Centric,School,,Guy B. Brown Elementary School,,55,Braeheid,Avenue,Flamborough,ON,,,
Child_Centric,School,,St. Anthony Daniel Elementary School,,75,Anson,Avenue,Hamilton,ON,,,
Child_Centric,School,,St. Gabriel Elementary School,,1361,Barton,Street,Stoney Creek,ON,,,
Child_Centric,School,,St. Matthew Elementary School,,200,Windwood,Drive,Glanbrook,ON,,,
Child_Centric,School,,Grace Christian School,,497,Millgrove,Side Road,Flamborough,ON,,,
Child_Centric,School,,Greensville Elementary School,,625,Harvest,Road,Dundas,ON,,,
Child_Centric,School,,South Meadow Elementary School,,23,Royce,Avenue,Stoney Creek,ON,,,
Child_Centric,School,,James Street School,,100,James,Street South,Hamilton,ON,,,
Child_Centric,School,,Gateway Alt Ed Centre King William,,225,King William,Street,Hamilton,ON,,,
Child_Centric,School,,Immaculate Conception Elementary School,,470,Kitty Murray,Lane,Ancaster,ON,,,
Child_Centric,School,,St. John Paul II Elementary School,,600,Acadia,Drive,Hamilton,ON,,,
Child_Centric,School,,Dundas Valley Secondary School,,310,Governors,Road,Dundas,ON,,,
Child_Centric,School,,Hamilton District Christian High School,,92,Glancaster,Road,Ancaster,ON,,,
Child_Centric,School,,Guardian Angels Elementary School,,705,Centre,Road,Flamborough,ON,,,
Child_Centric,School,,Holy Name of Mary Elementary School,,161,Meadowlands,Boulevard,Ancaster,ON,,,
Child_Centric,School,,Blessed Sacrament Elementary School,,315,East 37th,Street,Hamilton,ON,,,
Child_Centric,School,,Wilma's Place Alternative Education Centre,,770,Main,Street East,Hamilton,ON,,,
Child_Centric,School,,St. Teresa of Calcutta Elementary School,,1,Rexford,Drive,Hamilton,ON,,,
Child_Centric,School,,Christadelphian Heritage College,,522,Book,Road East,Ancaster,ON,,,
Child_Centric,School,,Cootes Paradise Elementary School,,900,King,Street West,Hamilton,ON,,,
Child_Centric,School,,Billy Green Elementary School,,1105,Paramount,Drive,Stoney Creek,ON,,,
Child_Centric,School,,Gordon Price Elementary School,,11,Guildwood,Drive,Hamilton,ON,,,
Child_Centric,School,,Huntington Park Elementary School,,80,Kingslea,Drive,Hamilton,ON,,,
Child_Centric,School,,James Macdonald Elementary School,,200,Chester,Avenue,Hamilton,ON,,,
Child_Centric,School,,Mount Hope Elementary School,,9149,Airport,Road,Glanbrook,ON,,,
Child_Centric,School,,Mountview Elementary School,,59,Karen,Crescent,Hamilton,ON,,,
Child_Centric,School,,Pauline Johnson Elementary School,,25,Hummingbird,Lane,Hamilton,ON,,,
Child_Centric,School,,Queen Mary Elementary School,,1292,Cannon,Street East,Hamilton,ON,,,
Child_Centric,School,,Rousseau Elementary School,,103,McNiven,Road,Ancaster,ON,,,
Child_Centric,School,,Kanétskare Elementary School,,222,Robinson,Street,Hamilton,ON,,,
Child_Centric,School,,Tiffany Hills Elementary School,,255,Raymond,Road,Hamilton,ON,,,
Child_Centric,School,,W. H. Ballard Elementary School,,801,Dunsmure,Road,Hamilton,ON,,,
Child_Centric,School,,Westwood Elementary School,,9,Lynbrook,Drive,Hamilton,ON,,,
Child_Centric,School,,Our Lady of Peace Elementary School,,252,Dewitt,Road,Stoney Creek,ON,,,
Child_Centric,School,,St. Paul Catholic Elementary School,,24,Amberwood,Street,Stoney Creek,ON,,,
Child_Centric,School,,St. Teresa of Avila Elementary School,,171,San Remo,Drive,Hamilton,ON,,,
Child_Centric,School,,St. Agnes Elementary School,,80,Colcrest,Street,Hamilton,ON,,,
Child_Centric,School,,Beth Jacob Hebrew School,,375,Aberdeen,Avenue,Hamilton,ON,,,
Child_Centric,School,,Notre-Dame Elementary School,,400,Cumberland,Avenue,Hamilton,ON,,,
Child_Centric,School,,Frank Panabaker Elementary School - North Campus,,168,Huron,Avenue,Ancaster,ON,,,
Child_Centric,School,,École élémentaire catholique Monseigneur-de-Laval,,135,Bendamere,Avenue,Hamilton,ON,,,
Child_Centric,School,,St. Thérèse of Lisieux Elementary School,,1760,Garth,Street,Hamilton,ON,,,
Child_Centric,School,,Woodview Mental Health & Autism - Delta School,,1284,Main,Street East,Hamilton,ON,,,
Child_Centric,School,,King William Learning Centre,3rd Floor,225,King William,Street,Hamilton,ON,,,
Child_Centric,School,,Dundas Valley Montessori School,,14,Kemp,Drive,Dundas,ON,,,
Child_Centric,School,,Nora Frances Henderson Secondary School,,1770,Upper Sherman,Avenue,Hamilton,ON,,,
Child_Centric,School,,École Élémentaire Michaelle Jean,,2121,Regional Road 56,,Glanbrook,ON,,,
Child_Centric,School,,Cairn Christian School,,795,Highway 8,,Stoney Creek,ON,,,
Child_Centric,School,,Our Lady of Hope,,400,Pumpkin,Pass,Glanbrook,ON,,,
Child_Centric,School,,Bernie Custis Secondary School,,1055,King,Street East,Hamilton,ON,,,
Child_Centric,School,,Oak Hill Academy,,557,Garner,Road West,Ancaster,ON,,,
